,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
2986,KALUNGA SA,J,"AV DOS ANDRADAS,3000",BELO HORIZONTE / MG,1133469600,43.283.811/0092-97,622650290209,,SANTA EFIGENIA,TERREO LOJA 03 E 04,30120010,Ativo / Ativo,paralegal@kalunga.com.br,,
2987,ELETROZEMA S/A,J,"R BENEDITO VALADARES,218",PARA DE MINAS / MG,3732311710,26.404.731/0047-79,4716548774066,,CENTRO,,35660630,Ativo / Ativo,contabil@grupozema.com.br,,
2988,GERALDO ANTONIO FERREIRA 89389964687,J,"R MELO GUIMARAES,550",PARA DE MINAS / MG,3732321000,34.133.584/0001-95,34861950082,,NOSSA SENHORA DE FATIMA,,35660163,Ativo / Ativo,mmj@mmj.com.br,,
2989,COMERCIAL OLIVEIRA MATERIAL DE CONSTRUCAO LTDA,J,"AV PROFESSOR MELLO CANCADO,1636",PARA DE MINAS / MG,3732326363,04.262.173/0001-39,4711123380097,,BELVEDERE,,35661300,Ativo / Ativo,fiscaltrescontabil@hotmail.com,,
2990,INDUSTRIA E COMERCIO DE ROUPAS NEW LIFE EIRELI,J,"R JOSE ANTONIO DA SILVA JUNIOR,177",REGISTRO / SP,1338222170,27.150.233/0001-27,574069922114,,DISTRITO INDUSTRIAL,ANEXO I,11900000,Ativo / Inativo,tuovestiti@gmail.com,,
2991,POWERPC COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA,J,"AV AUGUSTO DE LIMA,655",BELO HORIZONTE / MG,3140098115,06.697.988/0001-76,623110880040,,CENTRO,"LOJAS 14,15 E 16",30190000,Ativo / Ativo,contabil@gpj.com.br,,
2992,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,J,"ROD BR-356,7515",BELO HORIZONTE / MG,1140205376,01.438.784/0021-40,1860558000110,,BELVEDERE,,30390003,Ativo / Ativo,fiscal@leroymerlin.com.br,,
2993,MEIATRES COM  DE VESTUARIO LTDA,J,"AV INDEPENDENCIA,3302",GOIANIA / GO,6293841219,35.903.227/0001-21,109612400,,SETOR CENTRAL,QUADRA 172,LOTE 01E,LOJA 1161,ANDAR 01,,carita.monteiro@hotmail.com
2994,MZ 04 LOCACAO E COMERCIO LTDA,J,"AV LEOPOLDINO LUIZ DA SILVA,54",SANTO ANTONIO DO MONTE / MG,37998672420,14.239.796/0003-06,18341580233,,CENTRO,,35560000,Ativo / Ativo,empresadbe@gmail.com,,
2995,TODA BELLA STORE DISTRIBUIDORA DE COSMETICOS LTDA,J,"AV AVENIDA GODOFREDO MACIEL,3399",FORTALEZA / CE,85989324321,22.429.587/0001-91,62564722,,MONDUBIM,SL 102,60711495,Ativo / Ativo,contatotodabellastoreoficial@gmail.com,,
2996,DANIEL DOS SANTOS ELETRONICOS,J,"R DAS MACIEIRAS,154",SAO PAULO / SP,11960290038,33.465.256/0001-23,136248500111,,CASA VERDE MEDIA,,2521090,Ativo / Ativo,orionacf@orionacf.com.br,,
2997,HOTEL ATLANTICO AMERICANA LTDA,J,"R JOSE BONIFACIO,230",AMERICANA / SP,1934611495,39.685.346/0001-06,165532833118,,CHACARA MACHADINHO I,,13478040,Ativo / Ativo,hotelatlanticoamericana@gmail.com,,
2998,JOSE CLAUDIO MICHEL DOMINGOS DE LIMA SILVA,J,"RUA JOAQUIM MANOEL DE FARIAS,67",CUPIRA / PE,8188722113,26.579.397/0001-01,69758603,,CENTRO,ANEXO A,55460000,Ativo / Ativo,sscontabeis@yahoo.com.br,,
2999,TRANSPORTES TRANSLOVATO LTDA,J,"V ACESSO 008,",APARECIDA DE GOIANIA / GO,6235729200,89.823.918/0036-74,106997017,,CHACARA MARIVANIA,"QUADRAG ,LOTE 7-10/15-18",74923170,Ativo / Ativo,contabilidade@translovato.com.br,,
3000,SEXY COOKIE CONFECCOES LTDA,J,"R DOS ITALIANOS,29",SAO PAULO / SP,1126939282,08.151.457/0001-09,149344869110,,BOM RETIRO,,1131000,Ativo / Inativo,sexycookie@terra.com.br,,
3002,BURITIS COMERCIAL DE FERRAGENS LTDA,J,"AV PROFESSOR MARIO WERNECK,1401",BELO HORIZONTE / MG,3130474899,14.109.099/0001-79,18211470055,,ESTORIL,LOJA 08,30455610,Ativo / Ativo,societario01@sannar.com.br,,
3003,SANDRO MIGUEL ZAMBIANQUI ALIS 17165661859,J,"R DOUTOR DOMINGOS CONDE,451",PARAGUACU / MG,3584140994,47.403.650/0001-41,44068400059,,PARQUE DOS PINHEIROS,,37120000,Ativo / Ativo,sandroalis72@gmail.com,,
3004,NEXTER OUTSOURCING DE IMPRESSAO LTDA,J,"R JOAO FERREIRA DA SILVA,513",RIBEIRAO DAS NEVES / MG,3139721561,31.364.173/0001-12,32644110076,,JARDIM FLORENCIA (JUSTINOPOLIS),,33929001,Ativo / Ativo,contato@nexter.net.br,,
3005,SAULO ALLFORMAN LTDA,J,"RUA DUQUE DE CAXIAS,35",PACAJA / PA,91991392105,33.130.990/0001-31,156381605,,CENTRO,,68485000,Ativo / Ativo,pereirasaulo152@gmail.com,,
3006,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,J,"ROD RODOVIA CONTORNO LESTE BR-116 - DE 7500/7501 A 10498/10499,14219",SAO JOSE DOS PINHAIS / PR,4321041050,44.914.992/0038-20,9061706477,,COSTEIRA,,83015162,Ativo / Ativo,rodonaves@gmail.com,,
3007,CHOCO S ARTIGOS DO VESTUARIO EIRELI,J,"R JOSE PAULINO,270",SAO PAULO / SP,1133617834,12.648.298/0001-20,147543438112,,BOM RETIRO,,1120000,Ativo / Inativo,stemodafinan@gmail.com,,
3008,LA POEM MODAS LTDA,J,"R JOSE PAULINO,671",SAO PAULO / SP,1132210854,40.631.600/0001-72,130514280114,,BOM RETIRO,LOJA  13,1120901,Ativo / Inativo,conf.benecia@gmail.com,,
3009,KABRIOLLI INDUSTRIA E COMERCIO DE ROUPAS LTDA,J,"R MATEO FORTE,209",SAO PAULO / SP,1121277777,08.923.885/0002-93,148037795111,,AGUA BRANCA,,5038160,Ativo / Ativo,contador@kabriolli.com.br,,
3010,AMERICANAS S.A.,J,"ROD RODOVIA BR-497 - DO KM 180A,",UBERLANDIA / MG,1140034848,00.776.574/0014-70,19918010010,,JARDIM EUROPA,GALPAO 2,38414583,Ativo / Ativo,fiscal.nfe@b2wdigital.com,,
3011,LUCAS DIOGO SILVA 70152120130,J,"R VALPARAISO,1162",GOIANIA / GO,6281300460,41.660.688/0001-13,108381315,,JARDIM NOVO MUNDO,CONJ 151 LT 06,74705150,Ativo / Ativo,lukinhas_silva18@gmail.com,,
3012,ESTRELA 10 COMERCIO ELETRONICO EIRELI,J,"ROD JORGE LACERDA,1208",ITAJAI / SC,4532545388,10.368.118/0001-20,257935975,,ESPINHEIROS,ARMAZ A,88317100,Ativo / Ativo,contabilidade@estrela10.com.br,,
3013,TAKE A NAP IND E COM DE ROUPAS LTDA,J,"R JOSE VILAR,1471",FORTALEZA / CE,8532440295,73.403.644/0001-02,69243913,,ALDEOTA,B,60125000,Ativo / Ativo,financeiro@amotakeanap.com.br,,
3015,POSTO LESTE OESTE LTDA,J,"AV TEREZA CRISTINA,1795",BELO HORIZONTE / MG,3131105467,20.777.504/0001-20,625402150060,,CALAFATE,,30410600,Ativo / Ativo,postolesteoeste@terra.com.br,,
3016,NSKO MODAS LTDA,J,"R AIMORES,26",SAO PAULO / SP,1133380762,33.076.814/0001-69,123785539110,,BOM RETIRO,LOJA  43,1122010,Ativo / Inativo,financeiro@grupomaria.com.br,,
3017,HOSTGATOR BRASIL LTDA,J,"R LAURO LINHARES,589",FLORIANOPOLIS / SC,4837175470,15.754.475/0001-40,ISENTO,,TRINDADE,ATICO,88036001,Ativo / Ativo,fiscal@hostgator.com.br,,
3018,N SUJIAN KO MODAS LTDA,J,"R ANHAIA,278",SAO PAULO / SP,1198200201,28.584.791/0001-63,118488966112,,BOM RETIRO,,1130000,Ativo / Ativo,financeiro@grupomaria.com.br,,
3019,A FERNANDES REP COM DE TECIDOS E CONFECCOES,J,"R NOVE DE JULHO,1987",MIRASSOL / SP,1732421064,39.892.550/0001-06,ISENTO,,CENTRO,SALA  501,15130067,Ativo / Ativo,andreluisfernandes@terra.com.br,,
3020,DAYAN LUIZ PEREIRA 78901871149,J,"AV T 13,1033",GOIANIA / GO,6296477575,31.502.105/0001-72,ISENTO,,SETOR BUENO,,74230050,Ativo / Ativo,dayan.radar@gmail.com,,
3021,48.087.705 DAIANE FERNANDES PEREIRA DE AVILA,J,"R XAVIER KRAUSS,640",SAO PAULO / SP,11974498703,48.087.705/0001-14,136927684114,,VILA LEOPOLDINA,TORRE 2 - APTO 502,5313000,Ativo / Inativo,daiane245@gmail.com,,
3022,JOCELITO ALVES DE CARVALHO 85645044800,J,"R JOSE VIEIRA GUIMARAES,130",SAO PAULO / SP,1125143139,40.175.545/0001-53,130297660110,,JARDIM SANTA TEREZINHA (ZONA LESTE),SALA 2,8430000,Ativo / Ativo,jomodelagem10@gmail.com,,
3023,MILKY WAY CONFECCOES LTDA,J,"R JOSE PAULINO,626",SAO PAULO / SP,1133617250,03.802.637/0001-90,117011118116,,BOM RETIRO,,1120000,Ativo / Inativo,carla.designtex@gmail.com,,
3024,VENACI LUCAS DE ALENCAR,J,"RUA MAJOR FELICIANO,500",MACHADO / MG,3532921617,20.965.133/0002-90,167652710128,,CENTRO,,37750000,Ativo / Inativo,venaktecidosmachado@gmail.com,,
3025,ALDAN ASSESSORIA E PARTICIPACOES LTDA.,J,"AL CASA BRANCA,909",SAO PAULO / SP,1130676000,47.084.082/0005-97,116725757114,,JARDIM PAULISTA,,1408001,Ativo / Ativo,contato@grupoaldan.com.br,,
3026,M B DE SOUZA FILHO,J,"R ROD BR 104 KM 54,",CARUARU / PE,8137124148,28.197.273/0001-97,89708156,,VILA SAO RAFAEL ZON,GALPAO B,55002970,Ativo / Ativo,mbsouzafilho@hotmail.com,,
3027,JET OFFICE BRASIL INFORMATICA E PAPELARIA,J,"R GAVEA,200",BELO HORIZONTE / MG,3135041575,30.859.226/0003-75,ISENTO,,JARDIM AMERICA,,30421340,Ativo / Ativo,contato@contabilidadecontroletotal.com.br,,
3028,CORDEIRO MODA MASCULINA LTDA,J,"AV GETULIO VARGAS,731",JUIZ DE FORA / MG,32999613691,36.603.952/0001-47,36884380080,,CENTRO,LOJA  05,36013010,Ativo / Inativo,ofdt8@yahoo.com.br,,
3029,N F VALE INDUSTRIA E COMERCIO DO VESTUARIO LTDA,J,"R DOUTOR RODRIGO CODES SANDOVAL,750",FORTALEZA / CE,8532198832,40.736.892/0001-08,70210349,,MONDUBIM,,60711455,Ativo / Inativo,financeiro@nv.ind.br,,
3030,M M ROCHA MATTOS EIRELI,J,"RUA FREDERICO OZANAN,0",SANCLERLANDIA / GO,6281268939,24.499.193/0001-35,107037610,,SETOR SUL,QUADRA25                  LOTE  B,76160000,Ativo / Inativo,martinhamattos@hotmail.com,,
3031,AMERICANA COM. E MAN. DE PENTES TEXTEIS LTDA,J,"R DO COURO,605",SANTA BARBARA DOESTE / SP,1934056595,47.337.531/0001-38,606383477117,,JARDIM PEROLA,,13454180,Ativo / Ativo,vendas@amerijet.com.br,,
3032,R V COMERCIO DE CONFECCOES LTDA,J,"AV JORNALISTA ASSIS CHATEAUBRIAND,3300",CAMPINA GRANDE / PB,8333311863,40.950.354/0001-11,160941067,,DISTRITO INDUSTRIAL,ANEXO 07 E 09 TERREO ANDAR 2,58411450,Ativo / Ativo,comercial@mioche.com.br,,
3033,BRASPRESS TRANSPORTES URGENTES LTDA,J,"ROD PRESIDENTE DUTRA KM 222,500,0",GUARULHOS / SP,1121889000,48.740.351/0001-65,796621736119,,CUMBICA,KM 217.8 PREDIO A,7180903,Ativo / Inativo,sac@braspress.com,,
3034,EDUARDO PINHEIRO CORREIA 01265131120,J,"V-AC DE ACESSO 2,0",GOIANIA / GO,6293407237,47.680.868/0001-43,109611152,,RESIDENCIAL BERTIM BELCHIOR 2A ETAPA,QUADRA AREA,CASA 70,74490861,Ativo / Inativo,,
3035,BLUE BAY COMERCIAL LTDA.,J,"R MARCOS ARRUDA,865",SAO PAULO / SP,1120810545,04.078.965/0001-58,116862851116,,CATUMBI,,3020000,Ativo / Inativo,ligia.mara@studiozipcode.com,,
3036,MARCIO ALVES BATISTA,J,"RUA MARECHAL JOAO BATISTA DE MORAES,152",CORNELIO PROCOPIO / PR,4399986940,41.457.465/0001-53,9088726496,,JARDIM PEROLA,,86300000,Ativo / Inativo,orbrac@hotmail.com,,
3037,J. L. E. DE OLIVEIRA SR PANDINHA,J,"R 537,36",FORTALEZA / CE,85997580054,33.384.059/0001-80,69359202,,CONJUNTO CEARA II,CONJ SEGUNDA ETAPA,60531430,Ativo / Ativo,junioreufrasil6@gmail.com,,
3038,MAR VERMELHO CONFECCOES LTDA,J,"TV ANGELO BORGO,91",VILA VELHA / ES,2730755664,05.802.043/0001-04,82221936,,JARDIM GUADALAJARA,ANDAR 1          SALA  1,29109015,Ativo / Ativo,neuciteodoro@gmail.com,,
3039,PALLOMA MEDINA DE OLIVEIRA SILVA,J,"R FELISBERTA CAMARGOS,190",BELO HORIZONTE / MG,3133881332,36.047.204/0001-25,36460650004,,CALIFORNIA,,30855020,Ativo / Ativo,claudineyl@hotmail.com,,
3040,ANDRE TORAL BATISTA DE OLIVEIRA,J,"R ESTILAC,23",SAO PAULO / SP,1139073935,28.545.451/0001-23,123133601114,,VILA MARTE,,4250090,Ativo / Ativo,toralcomercio@gmail.com,,
3041,HIPERCLIMA SISTEMAS DE CLIMATIZACAO LTDA.,J,"R LUIZ FRANCA,526",CURITIBA / PR,41988277047,34.745.291/0001-69,9082579521,,CAJURU,,82900250,Ativo / Ativo,joao@hiperclima.com,,
3042,E. C. DE OLIVEIRA IND E COM DE PECAS DO VESTUARIO,J,"R DR MANUEL VITORINO,183",SAO PAULO / SP,1126926327,34.560.731/0001-03,126582008117,,BRAS,ANDAR 1,3017020,Ativo / Ativo,neuciteodoro@gmail.com,,
3043,GUERRAS ENCOMENDAS LTDA,J,"R ESTORIL,1275",BELO HORIZONTE / MG,3130161356,13.751.632/0003-09,34422580230,,SAO FRANCISCO,,31255190,Ativo / Ativo,comercial.bh@guerrasencomendas.com.br,,
3044,W.I.C COMERCIO DE ROUPAS LTDA,J,"AV DAS AMERICAS,7707",RIO DE JANEIRO / RJ,2197317561,21.152.594/0001-26,86797356,,BARRA DA TIJUCA,BLC 1 LOJ 112,22793081,Ativo / Ativo,w.lataam@gmail.com,,
3045,VIDA BABY COM DE ROUPAS E ACES  LTDA,J,"R GISLEI ANTONIO MERLOTI,1245",MIRASSOL / SP,1732429690,07.535.210/0001-23,451119649110,,SAO JOSE,,15130001,Ativo / Ativo,nfe.moda@anjosbaby.com.br,,
3046,THAIS GUTEMBERGUE SOARES,J,"R CAPITAO NEVES,2327",MIRASSOL / SP,1791252853,06.929.171/0001-86,451101173117,,CENTRO,,15130001,Ativo / Inativo,vendas@fateo.com.br,,
3047,JACKSON ALVES DA CRUZ 06948292690,J,"R DOS EXPEDICIONARIOS,88",PARA DE MINAS / MG,3791381307,45.993.299/0001-60,43190150001,,CENTRO,,35660040,Ativo / Ativo,onedistribuidoramg@gmail.com,,
3048,SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA,J,"AV DOUTOR MAURO LINDEMBERG MONTEIRO,628",OSASCO / SP,1121039600,07.432.517/0012-51,492558345111,,PQ IND ANHANGUERA,,6278010,Ativo / Ativo,fiscal@simpress.com.br,,
3049,EDIMARIO SILVESTRE DA SILVA 07087290452,J,"RUA JOSE FELISMINO,1060",RIACHO DAS ALMAS / PE,8189129989,29.219.776/0001-89,74963384,,CENTRO,GALPAO,55120000,Ativo / Inativo,edmario.silvestre.1105@gmail.com,,
3050,EXTINTORES ITAUNA EIRELI,J,"R AGRIPINO LIMA,87",ITAUNA / MG,3732414008,15.782.606/0001-01,19850940018,,CENTRO,,35680036,Ativo / Ativo,amac@amaccontabil.com.br,,
3051,ESTHER CONFECCOES LTDA,J,"R OURO PRETO,54",DUQUE DE CAXIAS / RJ,21964054659,48.067.480/0001-34,12619510,,VILA OITO DE MAIO,,25075260,Ativo / Ativo,lcvitorinoservicoscontabeis@gmail.com,,
3052,EMPRESA DE TRANSPORTES PAJUCARA LTDA,J,"ROD BR-262,109",VIANA / ES,3133164800,53.237.962/0023-30,82361401,,PRIMAVERA,,29135160,Ativo / Ativo,contabilidade.contato@pajunet.com.br,,
3053,ARSENAL SURF WEAR COMERCIO E  BENEFICIAMENTO DE TECIDOS EIRE,J,"RUA LUCIO FERREIRA DA SILVA,13",VALENCA / RJ,2424653350,37.610.768/0001-97,11772480,,FATIMA,,27600000,Ativo / Ativo,nathy.ferreira@yahoo.com.br,,
3054,EBAZAR.COM.BR. LTDA,J,"AV DAS NACOES UNIDAS 3000,3003",OSASCO / SP,1125434155,03.007.331/0122-39,120519234116,,BONFIM,SETOR A PARTE C,6233903,Ativo / Ativo,naotem@ebazar.com.br,,
3055,GILIARDE NUNES DE ARAUJO ARMARINHO,J,"R MINISTRO APOLONIO SALLES,716",SAO PAULO / SP,1129194555,35.321.438/0001-56,128009110111,,JARDIM TIETE,,3944040,Ativo / Ativo,naotem@naotem.com.br,,
3056,SCARLET BLACK  EIRELI,J,"AV SEN QUEIROS,360",SAO PAULO / SP,551199848027,43.426.207/0001-35,131919521110,,CENTRO,LOJA  T-12B,1026000,Ativo / Ativo,naotem@naotem.com.br,,
3057,SURUBIM TECIDOS LTDA,J,"RUA JOAO BATISTA,223",SURUBIM / PE,8198236111,43.903.560/0001-69,99865882,,CENTRO,TERREOE 1 ANDAR,55750000,Ativo / Inativo,piabajr@gmail.com,,
3058,RUBENS LENES ALVES,J,"AV OUVIDIO DE ABREU,681",PARA DE MINAS / MG,3732362496,00.430.824/0001-00,4719168580041,,VILA ROMUALDO PEREIRA DA SILVA,,35660970,Ativo / Ativo,fiscaltrescontabil@hotmail.com,,
3059,PARA MANGUEIRAS E RADIADORES LTDA,J,"R JOSE ANTONIO PEREIRA,651",PARA DE MINAS / MG,37999987864,20.977.127/0001-72,24248420015,,BELVEDERE,,35661290,Ativo / Ativo,maurolucio@nwm.com.br,,
3060,PLM TEXTIL LTDA,J,"R CLOWIS OGER,740",SAO JOSE DO RIO PRETO / SP,1721388444,47.836.838/0001-83,647056452119,,DISTRITO INDUSTRIAL,,15035580,Ativo / Ativo,andres.clemente@ummaisum.com.br,,
3061,J. BATISTA GUERRA JUNIOR,J,"RUA CORONEL MARTINIANO,607",CAICO / RN,8434212519,09.552.629/0001-19,202129063,,CENTRO,,59300000,Ativo / Inativo,j-batista-guerra@hotmail.com,,
3062,TRP IMPORTS COMERCIAL SERVICOS E FABRICACAO LTDA,J,"RUA HERMENEGILDO F. ZAMUNER,211",TIETE / SP,15981160505,34.455.435/0001-42,692065340116,,JD SANTA CRUZ,GALPAO1,18530000,Ativo / Ativo,thiagodaniel@trpimports.com.br,,
3063,TRP IMPORTS COMERCIAL SERVICOS E FABRICACAO LTDA,J,"R GIL STEIN FERREIRA,258",ITAJAI / SC,1581160505,34.455.435/0002-23,260254690,,CENTRO,1 PISO              SALA  105,88301210,Ativo / Ativo,thiagodaniel@trpimports.com.br,,
3064,URBANO ALVES DOS SANTOS,J,"AV LINDOMAR GOMES DE OLIVEIRA,718",GUARULHOS / SP,1124127636,06.780.720/0002-84,796405156110,,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,SALAO 02,7232150,Ativo / Ativo,fiscal3@contabilnader.com.br,,
3065,M&S TECIDOS E VARIEDADES LTDA,J,"RUA JOAO CARVALHO,72",IGARAPE GRANDE / MA,9881680076,15.779.146/0001-54,126080496,,CENTRO,,65720000,Ativo / Ativo,magazineigarape@hotmail.com,,
3067,35.879.018 FABRICIO GOMES JABBUR,J,"R SOTER RAMOS COUTO,62",BELO HORIZONTE / MG,3125158877,35.879.018/0001-90,36330650055,,BURITIS,,30493010,Ativo / Ativo,fjabbur@gmail.com,,
3068,C SILVA COMERCIO TECIDOS E SERVICOS LTDA,J,"TV TEOFILO CONDURU,230",BELEM / PA,9186235373,48.135.887/0001-51,158595289,,CANUDOS,ALTOS,66070530,Ativo / Ativo,grupomaryah@gmail.com,,
3070,LAURA VASCONCELOS DE SOUZA ALMEIDA,J,"R CONEGO JOAO PARREIRA VILACA,200",CARMO DO CAJURU / MG,3732441601,01.220.063/0001-16,1429720460067,,CENTRO,,35557000,Ativo / Ativo,tokleveconfeccoes@yahoo.com.br,,
3071,M.N REPRESENTACAO COMERCIAL LTDA,J,"R CARLOS ALBERTO LUIZ,154",SAO PAULO / SP,11947896860,08.791.586/0001-61,149662815119,,VILA MEDEIROS,,2207080,Ativo / Ativo,michele@mnrepresentacao.com.br,,
3072,FALCAO SOLUCOES TECNICAS LTDA.,J,"R SAO JOSE DO GOIABAL,504",RIBEIRAO DAS NEVES / MG,31998596536,34.804.154/0001-58,ISENTO,,SEVILHA (2 SECAO),,33840640,Ativo / Ativo,ganacarolina682@gmail.com,,
3073,ESTAMPARIA DE TECIDOS DREAM LTDA,J,"R DALVA,64",BELO HORIZONTE / MG,3132226891,07.871.828/0001-64,10054620066,,BONFIM,LOJA,31260460,Ativo / Ativo,financeirodreamestamparia@gmail.com,,
3075,RAYSSHEL LTDA,J,"R VILA DO CONDE,92",SAO PAULO / SP,1133380514,10.628.729/0001-60,148542861115,,BOM RETIRO,FUNDOS-,1134060,Ativo / Inativo,raysshel2011@hotmail.com,,
3076,CARREFOUR COMERCIO E INDUSTRIA LTDA,J,"AV BR 356,3049",BELO HORIZONTE / MG,3132809900,45.543.915/0013-15,623034300165,,BELVEDERE,,30330000,Ativo / Ativo,carrefour@carrefour.com.br,,
3077,GREYCILENE CARVALHO DE OLIVEIRA 32267202875,J,"R ITAPIRACABA,82",SAO PAULO / SP,11968500279,48.688.231/0001-66,138231534116,,BRAS,APTO 14,3025050,Ativo / Inativo,fdvixxmodas@gmail.com,,
3078,TEXTIL SUL INDUSTRIA E COMERCIO DO VESTUARIO LTDA,J,"R PROFESSORA SOLANGE MARGO GOMES,963",BRUSQUE / SC,4733082367,43.353.874/0001-35,261278622,,STEFFEN URBANO,GALPAO01,88355422,Ativo / Ativo,guilherme@designtextecidos.com.br,,
3079,JOSE BRANCO GARCIA COMERCIO DE ROUPAS,J,"R XAVANTES,715",SAO PAULO / SP,1129580851,40.330.171/0001-01,130371578113,,BRAS,SALA  109                 ANDAR 1,3027000,Ativo / Inativo,solang@terra.com.br,,
3080,JOAO BATISTA CAMILO,J,"R SANTA MARGARIDA,789",VARGINHA / MG,35999135455,01.712.548/0001-27,7073454570027,,BOM PASTOR,A,37014280,Ativo / Ativo,pedidos@rfstoreoficial.com.br,,
3081,KASSIM RIO PRETO CONFECCOES LTDA,J,"AV LINO JOSE DE SEIXAS,1141",SAO JOSE DO RIO PRETO / SP,1797479317,48.597.574/0001-15,124404149112,,JARDIM DOS SEIXAS,CASA  01,15061060,Ativo / Ativo,cristianekassim@gmail.com,,
3082,TOK FINAL INDUSTRIA E COMERCIO DE CONFECCOES EIRELI,J,"ROD BR 470,2606",RIO DO SUL / SC,4735251422,00.351.001/0001-80,253026083,,SANTA RITA,,89162400,Ativo / Inativo,aviamentos@sunplace.com.br,,
3083,ORO COMERCIO LTDA,J,"R ATUAI,441",SAO PAULO / SP,11974750075,43.585.227/0001-59,131998741112,,VILA ESPERANCA,,3646000,Ativo / Ativo,orocomercio01@gmail.com,,
3084,D G DE ARRUDA CONFECCOES,J,"R PERU,197",APUCARANA / PR,3434221293,48.243.724/0001-92,9096932500,,JARDIM DIAMANTINA,,86804070,Ativo / Inativo,modestoautopecas23@yahoo.com,,
3085,KNIHS JEANS LTDA,J,"R SANTA CRUZ,437",BRUSQUE / SC,47988292857,80.735.210/0001-67,251680070,,AGUAS CLARAS,,88353600,Ativo / Ativo,knihsjeans@gmail.com,,
3087,NOVA CONFECCOES EIRELI,J,"AV TROLESI,3819",MATAO / SP,1633831333,31.411.577/0001-10,441134983114,,PARQUE MONACO,,15993736,Ativo / Inativo,atendimento@useopn.com.br,,
3088,JOSE CARLOS TORRES MARTINS JUNIOR 34199211870,J,"R ADOLPHO QUIRINO DE MORAIS,165",URUPES / SP,1796189734,23.283.871/0001-65,707038161117,,RESIDENCIAL URUPES,,15852330,Ativo / Inativo,guilherme@designtextecidos.com.br,,
3089,UZ3 INDUSTRIA TEXTIL LTDA,J,"R BERTOLINA MAY KECHELLE,777",INDAIAL / SC,4733014086,07.206.989/0001-33,255237057,,MULDE,,89080001,Ativo / Inativo,compras2@colisao.com.br,,
3090,JOSE OSVALDO DE OLIVEIRA EIRELI,J,"R DOUTOR PEDRO ZIMMERMANN,7299",BLUMENAU / SC,4734315731,78.815.958/0007-13,255413050,,ITOUPAVA CENTRAL,GALPAO9 E 10,89069000,Ativo / Ativo,cotacao.bnu@transoliveira.com.br,,
3091,START BY WGSN LTDA,J,"R TABAPUA,841",SAO PAULO / SP,1148589360,03.966.578/0001-95,ISENTO,,ITAIM BIBI,ANDAR 1,4533013,Ativo / Ativo,joalcontabilidade@gmail.com,,
3092,ABADIA ANTONIA DA SILVA ALVES 00029533155,J,"R 300,0",GOIANIA / GO,6232983049,15.223.526/0001-08,109851030,,SETOR NORTE FERROVIARIO,GALPAO,74063370,Ativo / Inativo,gis.selle@hotmail.com,,
3093,IN VERSUS INDUSTRIA E COMERCIO DE CONFECCOES LTDA.,J,"R IVO SILVEIRA,2050",GASPAR / SC,4733328025,06.871.423/0001-63,254811760,,SANTA TEREZINHA,SALA 2,89110001,Ativo / Ativo,contato@inversus.com.br,,
3094,UNI9 COMERCIO E CONFECCOES LTDA.,J,"R CONDE DE LEOPOLDINA,536",RIO DE JANEIRO / RJ,2122626444,30.026.532/0001-69,11107494,,SAO CRISTOVAO,SOBRELOJA,20930460,Ativo / Ativo,comercial@uni9confeccoes.com.br,,
3095,DEPOSITO MARIO WERNECK LTDA,J,"AV PROFESSOR MARIO WERNECK,1680",BELO HORIZONTE / MG,3125266399,71.239.750/0001-69,628483930004,,ESTORIL,,30455610,Ativo / Ativo,alvarobp@terra.com.br,,
3096,F L M DA SILVA CONFECCOES LTDA,J,"RUA JOSE CARNEIRO DA SILVA,28",LARANJAL / MG,32999171383,35.876.742/0001-60,36328730039,,CENTRO,LOJA  A E B,36760000,Ativo / Ativo,lannyconfeccoes@yahoo.com.br,,
3097,PREVINIR PROMOCAO DA SAUDE LTDA,J,"R ANDRE CAVALCANTI - LADO IMPAR,173",BELO HORIZONTE / MG,3133322014,10.212.065/0001-54,32363440056,,GUTIERREZ,,30441025,Ativo / Ativo,previnir2016@gmail.com,,
3098,KARINA ERICA DE OLIVEIRA,F,"R MATO GROSSO,94",PARA DE MINAS / MG,37999743003,054.199.956-70,MG 10448456,,SAO JOSE,CASA 1,35660126,Ativo / Ativo,karina_arquiteta@hotmail.com,,
3102,COMERCIAL DAHANA LIMITADA,J,"AV CELSO PORFIRIO MACHADO,51",BELO HORIZONTE / MG,3133593314,00.070.509/0025-88,628853602359,,BELVEDERE,,30320400,Ativo / Ativo,erica.carrusca@supernosso.com.br,,
3103,LUCIANO PEREIRA RAMOS 41109417845,J,"AV DOM PEDRO I,3036",FRANCA / SP,1637252531,40.263.601/0001-01,310854840114,,PARQUE MOEMA,SALA 1,14409180,Ativo / Inativo,contatolkr@gmail.com,,
3104,COMERCIAL SOUZA LTDA,J,"AV AVENIDA SILVA LOBO - ATE 550 - LADO PAR,534",BELO HORIZONTE / MG,3133713131,16.602.419/0001-53,621104410086,,CALAFATE,,30411450,Ativo / Ativo,padariaveneza01@hotmail.com,,
